annotated_512_id,run,pattern,k_top1_identity,k_top1_score,k_top2_identity,k_top2_score,k_robust_separation,k_support_impression_count,k_support_pass,k_margin_pass,k_winner_leave_one_out_stable,k_global_position_drop_change_count,o_top1_identity,o_top1_score,o_top2_identity,o_top2_score,o_robust_separation,o_support_impression_count,o_support_pass,o_margin_pass,o_winner_leave_one_out_stable,o_global_position_drop_change_count,channels_agree,global_assignment_identity,assignment_agrees_with_local,one_to_one_collision,status,frozen_final_identity
R2/7_right_loop,R2,right_loop,143,1.1505252122879028,139,0.04618191719055176,108.45552775612278,2,true,true,true,0,119,0.10431782156229019,36,0.10361263900995255,0.03580511091706569,1,false,false,false,3,false,143,false,false,AMBIGUOUS,
R2/7_whorl,R2,whorl,144,1.9002994298934937,42,0.03738229349255562,250.53391573045505,9,true,true,true,0,146,0.15511254966259003,93,0.15079955756664276,0.17081960802445223,0,false,false,false,2,false,144,false,false,AMBIGUOUS,
R2/8_right_loop,R2,right_loop,145,0.22830170392990112,123,0.05109189823269844,15.241304263911898,5,true,true,true,0,73,0.1402183324098587,13,0.12348119169473648,0.7675452722774135,0,false,false,false,2,false,145,false,false,AMBIGUOUS,
R2/8_whorl,R2,whorl,146,0.1128249391913414,6,0.05334505811333656,5.294709681679213,0,false,true,true,0,29,0.18442559242248535,99,0.17745137214660645,0.3398158326992125,0,false,false,false,2,false,146,false,false,AMBIGUOUS,
R2/9_right_loop,R2,right_loop,147,0.9073136448860168,90,0.07788752764463425,73.62369878284076,8,true,true,true,0,93,0.15557384490966797,119,0.15314368903636932,0.0768414381237445,0,false,false,false,3,false,147,false,false,AMBIGUOUS,
R2/9_whorl,R2,whorl,148,1.0428470373153687,82,0.057775747030973434,99.12018495922106,9,true,true,true,0,54,0.1788278967142105,146,0.15733873844146729,0.7779563021742557,0,false,false,false,3,false,148,false,false,AMBIGUOUS,
R3/10_right_loop,R3,right_loop,70,0.09990411251783371,128,0.08766715973615646,1.3532902281508346,0,false,false,false,1,129,0.1633920818567276,31,0.14125041663646698,0.9787432040498203,0,false,false,false,1,false,128,false,false,AMBIGUOUS,
R3/10_whorl,R3,whorl,2,0.11921676248311996,39,0.0381995290517807,8.06860060288037,0,false,true,true,0,119,0.17430591583251953,115,0.16456261277198792,0.36478827924510326,0,false,false,false,2,false,2,false,false,AMBIGUOUS,
R3/11_right_loop,R3,right_loop,3,0.8069901466369629,118,0.05544233322143555,84.48377476511155,9,true,true,true,0,64,0.16030442714691162,32,0.1552211046218872,0.1894719122497216,0,false,false,false,3,false,3,false,false,AMBIGUOUS,
R3/11_whorl,R3,whorl,4,0.3914198875427246,51,0.0421304889023304,38.77717959085294,5,true,true,true,0,20,0.16726098954677582,111,0.15588051080703735,0.677058993454314,0,false,false,false,2,false,4,false,false,AMBIGUOUS,
