sample_index,subject_id,anatomical_position,finger_name,impression,source_500,source_1000,source_2000,sha256_500,sha256_1000,sha256_2000,exact_2x_dimensions,low_shape_hw,high_shape_hw,pearson_all_pixels,pearson_dark_union,mae_all_pixels,mae_dark_union,dark_union_pixel_fraction,control_500_1000_pearson_all_pixels,control_500_1000_pearson_dark_union
15,00001234,8,left_middle,roll,sd300a/images/500/png/roll/00001234_roll_500_08.png,sd300b/images/1000/png/roll/00001234_roll_1000_08.png,sd300c/images/2000/png/roll/00001234_roll_2000_08.png,7d1203d1c029d71e87356477f67494470bbc6b7dcad8242419e3192aded111a1,d1d969bb9795812afdb706763ccbed071b690641af0b0a7d5f4e7b7412c8ae15,dc7cf65507dbf376c427991621ed541d836d21189e74f75fc54f12d387ba7721,True,"[1374, 1468]","[2748, 2936]",0.9948809833514322,0.9921478172847221,2.141498565673828,2.6130268573760986,0.6573896695739085,0.9840242012739951,0.9746396345662086
16,00001711,8,left_middle,plain,sd300a/images/500/png/plain/00001711_plain_500_08.png,sd300b/images/1000/png/plain/00001711_plain_1000_08.png,sd300c/images/2000/png/plain/00001711_plain_2000_08.png,9fe5992e59960f2c62ef92cd9aaa4e3175a693698ada79c7e23d365e9ca86c03,4aff67a6573a57f9e8ac70c1015c66101d6939da8012856399c6a7f0886ad240,1640b1a3603e2cd91469b1f1c818396c3dc00b1bc7e6a263f9b45a18258c5bf5,False,"[1006, 733]","[2011, 1467]",0.8687728708203556,0.8503804714772111,9.72982120513916,10.28867244720459,0.926880734691442,0.9856256553184264,0.9845771137666498
16,00001711,8,left_middle,roll,sd300a/images/500/png/roll/00001711_roll_500_08.png,sd300b/images/1000/png/roll/00001711_roll_1000_08.png,sd300c/images/2000/png/roll/00001711_roll_2000_08.png,c00197e3ac8caeea1c8a7eb62776e401283cfc91ab1ed61a08a0bc7238203746,760fb4f42f6329fc306854de1dcb59c0c24d10da5f81b6d0e9dc5c50b86a2826,c6aa587ab63bb1661a8415b87e48495ae03d41522f83701c4367aa80b6f7803a,True,"[1498, 1510]","[2996, 3020]",0.9647044836768874,0.9561554482960045,7.311196804046631,8.510993003845215,0.8118988673639909,0.9959998144100659,0.9946439733473706
17,00001036,9,left_ring,plain,sd300a/images/500/png/plain/00001036_plain_500_09.png,sd300b/images/1000/png/plain/00001036_plain_1000_09.png,sd300c/images/2000/png/plain/00001036_plain_2000_09.png,2e7ee8ed49baa207db36d6e2c4dc7a98fd5c83ba89188daab4930aaed15b42cb,31cf5f6ad2b071bc9405b052bc3f94e20a0034155eba673bbe5760063c1fee76,26247962c2b721e881012a53120857e2b8ac0128a9a0fab28f1eb3b9abb46dfa,False,"[1063, 676]","[2127, 1351]",0.9781448445309192,0.9779649815708583,3.4634768962860107,3.4525041580200195,0.989792481922882,0.9538565213193221,0.9535952417889006
17,00001036,9,left_ring,roll,sd300a/images/500/png/roll/00001036_roll_500_09.png,sd300b/images/1000/png/roll/00001036_roll_1000_09.png,sd300c/images/2000/png/roll/00001036_roll_2000_09.png,a48e6419642d450e3bda62b32e11315972e0a4b0555cc4830f376ad94fa94a42,bad69c7fd3b9a68ce2e5eaf5dc8f6cc8116d7968a41b6c05cbe94bf00778209d,f9bcebefba5cf2cb74249ce95b7d92d31018cd1e4837f94248e964763f8dce14,True,"[1522, 1508]","[3044, 3016]",0.9674348702696969,0.9655900248206619,5.3002238273620605,5.506636142730713,0.9461958472901425,0.975195288141044,0.9741171940813272
18,00001580,9,left_ring,plain,sd300a/images/500/png/plain/00001580_plain_500_09.png,sd300b/images/1000/png/plain/00001580_plain_1000_09.png,sd300c/images/2000/png/plain/00001580_plain_2000_09.png,e8b89ffd8bf764245ab9d1c5b4dca8598dff332f9126fcd918602ccc9f664f82,5ae6e079cc2eb7fe43262f8ff30e2d2e5de0338bebd3610e29698f86ac9756bd,afc9de304e67e7cd70b23c2579a9abaa369c1714741f29047f2649d3bdbb0125,False,"[856, 734]","[1711, 1466]",0.9092883754863953,0.8976243345348528,11.907814025878906,12.182700157165527,0.9721281417912349,0.9871695077472344,0.9856870831756035
18,00001580,9,left_ring,roll,sd300a/images/500/png/roll/00001580_roll_500_09.png,sd300b/images/1000/png/roll/00001580_roll_1000_09.png,sd300c/images/2000/png/roll/00001580_roll_2000_09.png,960f2885c79b45389590ea937fe44e1bdc2581109cb04ca769c745303ec336fc,e7821fc5cc898ea4c737752a44982d7f7e788be6c1b4f605cae5272dab4349c8,6388e19867f9d9740e9d02ade95c86275a9383bbc233138abf2f4e0e0492450f,True,"[1374, 1468]","[2748, 2936]",0.9531546588200646,0.9477493661440669,8.239869117736816,8.964159965515137,0.894635285905231,0.9951540750874329,0.9942514948675939
19,00001085,10,left_little,plain,sd300a/images/500/png/plain/00001085_plain_500_10.png,sd300b/images/1000/png/plain/00001085_plain_1000_10.png,sd300c/images/2000/png/plain/00001085_plain_2000_10.png,9e8cd48020a898e9e8293a355a5d9bc7f9d30d8be2b94520a0bc1819826dc507,0463ca977d43c043598c39b78ab999d62350d76bfdaff8bf76ec1733956461cf,1d661e315990780c6c42e1d224faffdf36f4515247b0af45737db86d3c36c069,False,"[549, 512]","[1099, 1024]",0.8908511868248608,0.7480998138322434,9.277997970581055,9.914606094360352,0.9294171220400729,0.98901918254905,0.978217367162105
19,00001085,10,left_little,roll,sd300a/images/500/png/roll/00001085_roll_500_10.png,sd300b/images/1000/png/roll/00001085_roll_1000_10.png,sd300c/images/2000/png/roll/00001085_roll_2000_10.png,368357bcab38849d7159b02d697e52585070854796980ccbbc2c236ea08f3698,0e69ad0d902d3dd2a3d90ac51585482d19f6b14cb10906cda06b1c50f3608b85,36404d2838e42529e44b6539fb968c01d5186e0c296e71a1757b71a9ff4ddf0f,True,"[1510, 1538]","[3020, 3076]",0.9293748367149969,0.9033189839714267,6.669189453125,8.05532169342041,0.7626533986686072,0.9901003412585262,0.986102251267971
20,00001027,10,left_little,plain,sd300a/images/500/png/plain/00001027_plain_500_10.png,sd300b/images/1000/png/plain/00001027_plain_1000_10.png,sd300c/images/2000/png/plain/00001027_plain_2000_10.png,ff7da73b357d1e37a767dd4d82871098c973f8158834011b0ef6925579deaa11,8ef9ec89dd745afdf9a66e3b38565190a4fc89188966bba6b1bc49f08fc8db9f,88809cc68433f34006a17139fce50843579b3228695867ec5d298714f30cfc99,False,"[995, 664]","[1991, 1328]",0.589219210885199,0.589219210885199,22.592748641967773,22.592748641967773,1.0,0.9484766807059684,0.9484766807059684
20,00001027,10,left_little,roll,sd300a/images/500/png/roll/00001027_roll_500_10.png,sd300b/images/1000/png/roll/00001027_roll_1000_10.png,sd300c/images/2000/png/roll/00001027_roll_2000_10.png,3bcc51d19eb72e48ca6d377973c0860db24ee95684a0c7fa211614b2dc5d2ca8,e2210dbd9f22b888e7523f580bfb6f1032f90b3479f046616527159744e77e69,91922e6dd5cca459b103441a668462db6f452ec1e9993cb9fbed5e5cde31be3b,True,"[1346, 1688]","[2692, 3376]",0.9812571950472665,0.9791205384607433,5.422399044036865,5.714907646179199,0.9324094385329887,0.9771406165465392,0.9746562331819799
