record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S02-1000,2,00001718,1,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S03-1000,3,00001335,2,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S04-1000,4,00001593,2,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S05-1000,5,00001314,3,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1021,935.2823114389331,1365.3657134069283,0,,,0,,
S06-1000,6,00001267,3,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S07-1000,7,00001061,4,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1016,931.1191759228711,1508.7839142250405,0,,,0,,
S08-1000,8,00001050,4,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,579,620.6586056084384,952.7445295350805,0,,
S09-1000,9,00001187,5,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S10-1000,10,00001668,5,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S11-1000,11,00001595,6,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S12-1000,12,00001159,6,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1747,691.351106636654,1337.3323167464318,0,,,0,,
S13-1000,13,00001741,7,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1585,813.3819549288893,1334.8829766627082,0,,,0,,
